Character_ID,Character_Name,Image_URL,Species,House,House_URL,Status,Lore,Parents,Siblings,Children
CH012,Baelish soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Baelish_Soldier.png,Human,House Baelish,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Baelish.png,Not Available,"He bore no name in the songs, no coat of arms upon his chest. He wore the mocking bird of Littlefinger, and that was cause enough for distrust.
In shadowed halls and behind stone walls, he served a master who smiled with knives. Whether in the Vale, the Fingers, or King’s Landing, these men moved like whispers—quiet, loyal, and paid.
When the schemes collapsed and the spider’s web burned, many such men vanished with their master’s ambition—forgotten, unmarked, but dangerous all the same.",Not Available,Not Available,Not Available
CH013,Balon Greyjoy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,House Greyjoy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Greyjoy.png,Dead,"Lord of the Iron Islands and father to Theon. A proud and unyielding ruler, he declares independence from the Iron Throne, reigniting old conflicts.",Quellon Greyjoy,"Euron Greyjoy, Victarion Greyjoy","Theon, Yara, Rodrik, Maron"
CH014,Bannen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,Night's Watch,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A ranger of the Night's Watch, remembered for his bravery beyond the Wall. His disappearance adds to the growing tales of dread from the north.",Not Available,Not Available,Not Available
CH015,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Baratheon_Dragonstone_Soldier.png,Human,House Baratheon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Baratheon_Dragonstone.png,Not Available,"Clad in black and gold, these men marched beneath the stag and flame, loyal to the Lord of Dragonstone, Stannis Baratheon.
They followed him through ash and shadow, through Blackwater’s fire and the icy wastes of the North. Stern of face and sharp of sword, they were not men of laughter or song, but duty—unyielding, unrelenting.
Many burned for their king’s cause—some by blade, others by the fires of R’hllor. They were not remembered in glory, but in the smoke that clung to every step Stannis took toward doom.",Not Available,Not Available,Not Available
CH016,Baratheon of King's Landing soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,House Baratheon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Baratheon_Dragonstone.png,Not Available,"The red and gold cloaks of King’s Landing bore the crown stag of House Baratheon during Robert’s reign, though few held his spirit.
They swaggered in the shadow of power, half guards, half brutes. When Robert fell, they bent like reeds in the wind—first to Joffrey, then to fear, then to whoever wore the crown.
Their loyalty was not to a king, but to survival. And when the lion roared louder than the stag, they changed their tune to match the court’s cruel music.",Not Available,Not Available,Not Available
CH017,Baratheon of Storm's End guard,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,House Baratheon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Baratheon_Dragonstone.png,Not Available,"A loyal soldier serving House Baratheon at Storm's End, standing firm during sieges and embodying the resilience of the Stormlands.",Not Available,Not Available,Not Available
CH018,Barra,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Barra.png,Human,House Baratheon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Baratheon_Dragonstone.png,Dead,"A young girl, one of King Robert's many bastards. Her existence is a testament to Robert's indiscretions and the perilous lives of illegitimate children in noble games.​","Robert Baratheon, Mhaegen",Gendry (half-brother),None
CH019,Barristan Selmy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Barristan_Selmy.png,Human,House Selmy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Selmy.png,Dead,"Barristan the Bold, the last true knight of Westeros, stood tall even as kingdoms crumbled.
A member of the Kingsguard from youth, he served Targaryens and Baratheons alike, his blade unsullied by politics or pride.
Dismissed by a boy king with no honor, he crossed the Narrow Sea and pledged himself once more to House Targaryen—not for ambition, but for justice.
In Meereen, he stood beside Daenerys, sword in hand, heart still noble. He died as he lived—not in bed, not in retreat, but with sword drawn, surrounded by foes, fighting for a queen who sought to break the wheel.",Ser Lyonel Selmy,Not Available,None
CH020,Belicho Paenymion,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Belicho_Paenymion.png,Human,House Paenymion,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Paenymion.png,Dead,"A member of Meereen's ruling elite, resistant to Daenerys's reforms. His opposition marks him as an obstacle to the city's transformation.",Not Available,Not Available,Not Available
CH021,Benjen Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Benjen_Stark.png,Human,House Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Stark.png,Dead,First Ranger of the Night's Watch and brother to Eddard Stark. His mysterious disappearance beyond the Wall sparks concern and speculation.,"Rickard Stark, Lyarra Stark","Eddard, Brandon, Lyanna Stark",None
CH022,Beric Dondarrion,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Beric_Dondarrion.png,Human,House Dondarrion,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Dondarrion.png,Dead..,"The Lightning Lord of Blackhaven, once a knight in shining armor, was struck down and struck down again—and each time, the Lord of Light brought him back.
His eye lost, his flesh scarred, Beric became more ghost than man. He walked through darkness with a flaming sword and a hollowed soul.
He led the Brotherhood Without Banners, fighting not for lords or glory, but for the people crushed beneath the boots of war.
At the end, he gave his final life so others could live—his last resurrection a gift to the realm, paid with fire and faith.",Lord Simon Dondarrion,Not Available,None
CH023,Billy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A minor figure whose deeds are scarcely recorded, yet his presence contributes to the vast tapestry of Westeros's history.",Not Available,Not Available,Not Available
CH024,Biter,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Biter.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A grotesque and violent criminal, known for his disfigured appearance and savage behavior. He roams with Rorge, spreading fear wherever they go.",Not Available,Not Available,None
CH025,Boar,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Boar.png,Boar,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"It was no mere beast that felled King Robert Baratheon. The great boar of the Kingswood was a tusked omen, a wrathful avatar of the old gods or perhaps the gods’ justice for a usurper grown fat and slow.
They said it gored the king through the belly, its rage unshaken by blade or crown. Some whispered that wine loosened Robert’s grip, others that poison made his veins run slow.
Whatever the truth, the boar did what armies and assassins could not—it ended the stag's reign with tusk and fury. Its carcass was feasted upon, but its legacy lingered in the blood that stained the Iron Throne.",Not Available,Not Available,Not Available
CH026,Hound,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/hound.png,Dog,House Bolton,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Bolton.png,Dead,Savage hunting dog.,Not Available,Not Available,Not Available
CH027,Bolton heir,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,House Bolton,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Bolton.png,Dead,"The successor to House Bolton, notorious for their flayed man sigil and brutal methods. His rise signifies a dark chapter in the North's history.",Roose Bolton,Not Available,Not Available
CH028,Bolton soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Bolton_Soldier.png,Human,House Bolton,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Bolton.png,Not Available,"In flayed leathers and cruel smiles, the men of House Bolton served not loyalty but terror.
They marched beneath the flayed man, practiced in torture, masters of fear. Whether roasting captives or skinning rebels, they did not just kill—they unmade.
When Roose Bolton rose, these men were his shadow. When Ramsay ruled, they became monsters in the shape of men.
But fear is a fickle master. When Winterfell burned and the wolves returned, these soldiers were hunted, one by one, their screams swallowed by the snows they once ruled.",Not Available,Not Available,Not Available
CH029,Bowen Marsh,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Bowen_marsh.png,Human,Night's Watch,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,The cautious and traditional First Steward of the Night's Watch. His resistance to change leads to pivotal decisions affecting the Watch's future.,Not Available,Not Available,Not Available
CH030,Brienne of Tarth,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Brienne.png,Human,House Tarth,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Tarth.png,Alive,"They called her the Maid of Tarth, but she was no fair maiden. Brienne was a tower of steel and loyalty, a true knight in all but name.
Mocked for her looks, scorned for her dreams, she chose honor over comfort, oaths over glory. She served Renly Baratheon, then Catelyn Stark, then Jaime Lannister—yet belonged to none.
Her blade was named Oathkeeper, and she wielded it in the name of promises others forgot. She crossed a kingdom for a girl she barely knew, fought a bear, defied lords, and lived not by pride but by principle.
In the end, she was knighted not by titles, but by truth. The songs may not sing of her beauty—but they will never forget her courage.",Selwyn Tarth,Dead,None
CH031,Bronn,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Bronn.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Alive,"Bronn of the Blackwater, sellsword, climber of ladders and ladders of men. He entered the story with a sly grin and a quick blade, fighting for coin and drinking for joy.
He fought for Tyrion, not out of friendship but for gold—and yet stayed longer than coin required. He killed knights, dodged lords, bedded women, and kept his boots dry.
When the realm burned and dragons soared, Bronn rose higher still—from lowborn killer to Lord of Highgarden, with titles he barely respected.
He was the kind of man history forgets and legends envy—a survivor, a schemer, and a man too clever to ever die in someone else’s war.",Not Available,Not Available,Not Available
CH032,Brother Ray,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Brother_Ray.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A peaceful septon who renounces violence, leading a group of villagers in a tranquil life. His past and teachings leave a lasting impact on Sandor Clegane.",Not Available,Not Available,Not Available
CH033,Brotherhood Without Banners Member,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Human,Brotherhood Without Banners,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Not Available,"A sworn brother in a group of outlaws turned vigilantes, striving to protect the common folk amidst the chaos of war, often guided by the Lord of Light.",Not Available,Not Available,Not Available
CH034,Catelyn Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Catelyn_Stark.png,Human,House Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Stark.png,Dead,"Catelyn Stark was the quiet strength of Winterfell, a mother of wolves and a woman of iron resolve. Born of the Tullys, she carried duty like a mantle, even when it broke her heart. Her love was fierce, her losses greater—and in her grief, the river ran red.","Lord Hoster Tully, Lady Minisa Whent","Lysa Arryn, Edmure Tully","Robb, Sansa, Arya, Bran, Rickon"
CH035,Catspaw assassin,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Cats_Paw_Assassin.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A mysterious figure who attempts to murder Bran Stark in his sleep, sparking intrigue and suspicion that ripple through noble houses.",Not Available,Not Available,Not Available
CH036,Cersei Lannister,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Cercei.png,Human,House Lannister,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Lannister.png,Dead,"Cersei, the lioness of the Rock, born of pride and prophecy. Daughter to Tywin, twin to Jaime, mother to kings, she believed herself a queen of destiny.
Her beauty was a weapon, her love a poison, her hatred boundless. She ruled through whispers and wildfire, making allies of enemies and corpses of rivals.
The prophecy of Maggy the Frog haunted her steps—gold would be her shroud, her children would die, and she would be cast down by a younger queen.
She became queen of ash and silence, a mother mourning sons she twisted, a queen with no people left to rule.
In the end, the Red Keep crumbled around her, and all her power amounted to nothing but stone and dust.",Tywin Lannister,"Jaime, Tyrion","Joffrey, Myrcella, Tommen"
CH037,Champion of Meereen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Champion_Meereen.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A warrior who challenges Daenerys's champions to single combat, representing the old guard's resistance to her new rule.",Not Available,Not Available,Not Available
CH038,Champion of Meereen's Horse,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Champion_Meereen_Horse.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A proud beast adorned in golden armor, this steed bore the warrior of Meereen into combat, only to fall before Daenerys Targaryen's might.",Not Available,Not Available,Not Available
CH039,Child of the Forest,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/children.png,Human,Children of the Forest,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Children_Forest.png,Dead,"An ancient being of magic and mystery, the Child of the Forest is part of the original inhabitants of Westeros, deeply tied to nature and the old gods.",Not Available,Not Available,Not Available
CH040,City watch guard,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/CityWatch_Guard.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Not Available,"Gold cloaks they were called, but few bore the weight of justice. The City Watch of King’s Landing served not the law, but the throne—or whoever held it.
They were gaolers and gatekeepers, thugs in uniform, patrolling alleyways thick with rot and secrets.
When kings rose and fell, so did their loyalty. When chaos came, they looted before they fought. And when dragons flew overhead, many dropped their cloaks and fled, leaving justice to the flames.",Not Available,Not Available,Not Available
CH041,Clegane's horse,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Horse,House Clegane,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Clegane.png,Dead,"A monstrous black stallion befitting its fearsome rider, Sandor 'The Hound' Clegane. As fierce and stubborn as the man it carried.",Not Available,Not Available,Not Available
CH042,Craster,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Craster.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A wildling of ill repute, Craster dwelt beyond the Wall with his many daughters-turned-wives, trading shelter for offerings to the White Walkers.",Not Available,Not Available,Many
CH043,Daario Naharis,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Dario_Nharis.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Alive,"A sellsword prince with a poet’s smirk and a killer’s hands. Daario Naharis was all gold tooth and silken swagger, a peacock amid war-hardened crows.
He served the Second Sons until he slit his captains' throats and offered their heads to a queen. For Daenerys Targaryen, he became sword, lover, and ruthless advisor.
He spoke in blades and boldness, wooing with wit and winning with blood.
When Daenerys crossed the sea, she left him behind—to keep the peace in Meereen. Some say he ruled as a tyrant in velvet; others say he still waits for his silver queen to return.",Not Available,Not Available,Not Available
CH044,Daenerys Targaryen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Danny.png,Human,House Targaryen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Targaryen.png,Dead,"Stormborn in exile, mother of dragons, breaker of chains. Daenerys Targaryen rose from ash and blood, the last embers of a dying dynasty.
She walked through fire and came forth reborn, forging an army not from lords, but from the broken and the bound.
Her mercy was fierce, her justice unforgiving. She freed cities, shattered chains, and scorched those who stood against her. But in her heart burned the fire of old Valyria—and fire consumes.
In the end, her dream of a better world became a nightmare wrought in dragonflame. Slain by the one she loved, she died at the edge of the throne she never sat upon—hailed as both liberator and tyrant.",Aerys II Targaryen,"Rhaegar Targaryen, Viserys Targaryen","Drogon, Rhaegar, Viserion"
CH045,Deer,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Deer.png,Deer,Wildlife,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A symbol of House Baratheon, and in this tale, merely a creature caught in the wrong place at the wrong time.",Not Available,Not Available,Not Available
CH046,Dickon Tarly,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Dickon_Tarly.png,Human,House Tarly,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Tarly.png,Dead,"Son of Lord Randyll Tarly, and as tall and true as the oaks of the Reach. Dickon was all things a knight should be—brave, loyal, gallant—but bound by duty to a father made of stone.
He fought for the Tyrells, then bent the knee to the crown. When Daenerys demanded fealty after battle, Dickon stood by his father, choosing honor over survival.
For that choice, he died in dragonfire—reduced to ash for the crime of loyalty.","Lord Randyll Tarly, Lady Melessa Florent","Samwell Tarly, Talla Tarly, two other sisters",None
CH047,Direwolf,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Horse.png,Direwolf,House Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Stark.png,Sightings confirmed,"The sigil of the North made flesh. Six pups found in the snow, born of a dead she-wolf and destined to mirror their Stark companions.
Each direwolf carried a shard of its master’s soul—fierce Ghost, loyal Grey Wind, savage Nymeria, gentle Lady, fearless Summer, and doomed Shaggydog.
They were guardians, avengers, omens. And as the Starks fell and rose, so too did their wolves—vanishing one by one into death, shadow, or legend.
Only a few remained when the dust settled—white-furred ghosts among men. Many Direwolf are unnamed in the known lore though their impact is none the less relevant.",Not Available,"Grey Wind, Lady, Nymeria, Summer, Shaggydog, and Ghost",Not Available
CH048,Dontos Hollard,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Dontos_Hollard.png,Human,House Hollard,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Hollard.png,Dead,"Once a knight, then a fool. Ser Dontos fell from grace but found redemption in aiding Sansa Stark's escape from King's Landing.",Not Available,Not Available,Not Available
CH049,Doran Martell,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Doran_Martell.png,Human,House Martell,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/House_Martell.png,Dead,"Prince of Dorne, wise and contemplative. He sought peace amidst vengeance, but his calm demeanor masked deep-rooted fury.",Not Available,"Elia, Oberyn Martell",Trystane Martell
CH050,Doreah,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/refs/heads/main/images/characters/Doreah.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A former handmaiden of Daenerys Targaryen, once loyal but later swayed by betrayal, her end came with quiet finality.",Not Available,Not Available,Not Available
CH051,Dorne Horse,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Horse,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A desert-bred steed, strong and swift, trained to endure the sun-scorched sands of the Dornish hinterlands.",Not Available,Not Available,Not Available
CH052,Dorne Smuggler,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Horse.png,Human,Not Available,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/house/Unknown_Family.png,Dead,"A shadowy figure of the Dornish ports, dealing in secrets and stolen cargo, often caught between crowns and causes.",Not Available,Not Available,Not Available
